dataset,model,seed,accuracy,accuracy@1,accuracy@2,accuracy@3,accuracy@4,accuracy@5,auprc,auroc,early_detected_rate,f1,f1@1,f1@2,f1@3,f1@4,f1@5,mean_lead_time,precision,recall,threshold,onset_mae,onset_nll,wall_seconds,epochs_completed,best_epoch,inference_batch64_median_ms,inference_batch64_p95_ms,parameters
synthetic_demo,safe,2,0.2525,0.575,0.2675,0.2675,0.2675,0.27,0.3137221633406958,0.5722333333333334,1.0,0.4008016032064128,0.3656716417910448,0.3983572895277207,0.4032586558044806,0.4032586558044806,0.4065040650406504,11.88,0.2506265664160401,1.0,0.2699999999999999,,,3.276477082981728,24,17,0.6392085000000001,0.65665,4065
synthetic_demo,safe,4,0.265,0.265,0.265,0.265,0.265,0.265,0.2647233998516893,0.4866512642792966,1.0,0.4189723320158103,0.4189723320158103,0.4189723320158103,0.4189723320158103,0.4189723320158103,0.4189723320158103,12.424528301886792,0.265,1.0,0.05,,,2.8203553750063293,21,14,0.6476044999999999,0.6854934,4065
synthetic_demo,safe,3,0.3,0.7675,0.7375,0.6175,0.5975,0.565,0.2175559578427689,0.4695107001506077,0.5591397849462365,0.3518518518518518,0.0,0.0186915887850467,0.1989528795811518,0.2780269058295964,0.2809917355371901,3.9342105263157894,0.2241887905604719,0.8172043010752689,0.4199999999999999,,,2.234395291947294,16,9,0.640417,0.7775961499999999,4065
synthetic_demo,safe,1,0.2675,0.2675,0.2675,0.2675,0.2675,0.2675,0.2886730472039384,0.5040030621032822,1.0,0.4220907297830374,0.4220907297830374,0.4220907297830374,0.4220907297830374,0.4220907297830374,0.4220907297830374,11.794392523364486,0.2675,1.0,0.05,,,2.2125962920254096,15,8,0.643792,0.68700385,4065
synthetic_demo,safe,0,0.245,0.76,0.76,0.6875,0.5575,0.49,0.2672021429079528,0.5217242324561404,0.7916666666666666,0.388663967611336,0.0,0.0,0.2331288343558282,0.300395256916996,0.3245033112582781,5.6875,0.2412060301507537,1.0,0.63,,,1.6942232919973321,11,4,0.660875,0.86645865,4065
synthetic_demo,gru,2,0.93,0.6425,0.635,0.6825,0.6975,0.715,0.7716317154270932,0.9512333333333332,0.49,0.8771929824561403,0.2955665024630542,0.1204819277108433,0.072992700729927,0.0472440944881889,0.05,2.15,0.78125,1.0,0.5149999999999999,,,1.4553509590332396,13,6,0.6493125,0.6895249999999999,4065
synthetic_demo,gru,4,0.9075,0.2925,0.4275,0.5925,0.6275,0.6975,0.7719672362437779,0.9435566679501988,0.9433962264150944,0.8477366255144033,0.4116424116424116,0.3760217983651226,0.3063829787234042,0.1675977653631284,0.1294964028776978,11.452830188679243,0.7518248175182481,0.9716981132075472,0.3899999999999999,,,1.1336103749927133,9,2,0.6506879999999999,0.69182855,4065
synthetic_demo,gru,3,0.9275,0.3725,0.52,0.625,0.6675,0.7025,0.8033664067995188,0.9587404994571118,0.8602150537634409,0.8651162790697674,0.3645569620253164,0.3469387755102041,0.2990654205607476,0.24,0.1678321678321678,9.924731182795698,0.7622950819672131,1.0,0.3599999999999999,,,1.200925457989797,10,3,0.64775,0.6885101,4065
synthetic_demo,gru,1,0.9275,0.73,0.73,0.725,0.7275,0.7275,0.8128184401892202,0.9491563267519376,0.0934579439252336,0.8786610878661087,0.0,0.0,0.0,0.018018018018018,0.018018018018018,-4.679245283018868,0.7954545454545454,0.9813084112149532,0.59,,,1.2784796659834683,11,4,0.6351875,0.6822667,4065
synthetic_demo,gru,0,0.895,0.75,0.75,0.7525,0.745,0.745,0.7099581801022005,0.9290707236842104,0.2083333333333333,0.8157894736842105,0.1228070175438596,0.0566037735849056,0.0198019801980198,0.0192307692307692,0.0,-2.5638297872340425,0.7045454545454546,0.96875,0.57,,,1.8251072079874575,13,6,0.658292,0.69452085,4065
synthetic_demo,safe-r,2,0.9025,0.75,0.75,0.75,0.75,0.75,0.7570770247215115,0.9526333333333332,0.04,0.8368200836820083,0.0,0.0,0.0,0.0,0.0,-5.9,0.7194244604316546,1.0,0.3849999999999999,,,3.785031749983318,40,40,0.6566460000000001,0.67367675,4065
synthetic_demo,safe-r,4,0.895,0.735,0.735,0.735,0.735,0.735,0.7911530306555509,0.9466692337312284,0.0283018867924528,0.8173913043478261,0.0,0.0,0.0,0.0,0.0,-7.648936170212766,0.7580645161290323,0.8867924528301887,0.4549999999999999,,,3.746171249949839,38,31,0.6513545000000001,0.6939798,4065
synthetic_demo,safe-r,3,0.9225,0.7675,0.7675,0.7675,0.7675,0.7675,0.762803801774559,0.9546775944800532,0.075268817204301,0.8544600938967136,0.0,0.0,0.0,0.0,0.0,-6.285714285714286,0.7583333333333333,0.978494623655914,0.4449999999999999,,,3.485253124963492,36,29,0.6542705,0.6906211499999999,4065
synthetic_demo,safe-r,1,0.91,0.7325,0.7325,0.7325,0.7325,0.7325,0.7895881818136794,0.9504003062103282,0.0373831775700934,0.856,0.0,0.0,0.0,0.0,0.0,-6.261682242990654,0.7482517482517482,1.0,0.3849999999999999,,,3.925284625031054,40,40,0.6697504999999999,0.7024069,4065
synthetic_demo,safe-r,0,0.8925,0.76,0.76,0.76,0.76,0.76,0.6975195748322444,0.9275973135964912,0.03125,0.8105726872246696,0.0,0.0,0.0,0.0,0.0,-6.576086956521739,0.7022900763358778,0.9583333333333334,0.4199999999999999,,,3.900368625007104,40,39,0.666104,0.7054752999999999,4065
synthetic_demo,safeplus,2,0.8775,0.75,0.75,0.75,0.75,0.75,0.7433169907436685,0.9447666666666668,0.03,0.7914893617021277,0.0,0.0,0.0,0.0,0.0,-7.860215053763441,0.6888888888888889,0.93,0.5599999999999999,10.37984496124031,4.048503398895264,4.05253495904617,40,37,0.6714585,0.713,4098
synthetic_demo,safeplus,4,0.8925,0.735,0.735,0.735,0.735,0.735,0.7585629762730799,0.9352457964317804,0.0283018867924528,0.8170212765957446,0.0,0.0,0.0,0.0,0.0,-8.447916666666666,0.7441860465116279,0.9056603773584906,0.5249999999999999,10.092857142857143,3.9285871982574463,4.110927375033498,40,37,0.6782915,0.7191767499999999,4098
synthetic_demo,safeplus,3,0.9125,0.7675,0.7675,0.7675,0.7675,0.7675,0.7571813988096914,0.9546425694371476,0.053763440860215,0.8387096774193549,0.0,0.0,0.0,0.0,0.0,-7.153846153846154,0.7338709677419355,0.978494623655914,0.915,8.98360655737705,3.1132652759552,2.7391589999897406,25,18,0.673458,0.71617085,4098
synthetic_demo,safeplus,1,0.91,0.7325,0.7325,0.7325,0.7325,0.7325,0.779110395432317,0.9435105738253964,0.0093457943925233,0.8512396694214877,0.0,0.0,0.0,0.0,0.0,-8.660194174757281,0.762962962962963,0.9626168224299064,0.63,8.828358208955224,3.5967822074890137,3.3607775840209797,32,25,0.674208,0.7188767500000001,4098
synthetic_demo,safeplus,0,0.24,0.24,0.24,0.24,0.24,0.24,0.4395757344438969,0.7255174067982456,1.0,0.3870967741935484,0.3870967741935484,0.3870967741935484,0.3870967741935484,0.3870967741935484,0.3870967741935484,12.25,0.24,1.0,0.05,8.911111111111111,3.103285789489746,1.1209216249990277,8,1,0.6904375,0.7300569,4098
