,auprc,auprc,auroc,auroc,f1,f1,early_detected_rate,early_detected_rate,mean_lead_time,mean_lead_time,onset_mae,onset_mae,onset_nll,onset_nll,wall_seconds,wall_seconds,epochs_completed,epochs_completed,inference_batch64_median_ms,inference_batch64_median_ms,inference_batch64_p95_ms,inference_batch64_p95_ms,parameters,parameters
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,,,,,,,,,,,,,,,
gru,0.7739483957523621,0.04025027772629679,0.9463515102353582,0.01108628627644951,0.856899289718126,0.026109864645551217,0.5190805114874204,0.3791373948734743,3.2568972602444064,7.240886844149431,,,,,1.3786947331973352,0.27697995963097743,11.2,1.7888543819998317,0.648246,0.00834855287609774,0.68933024,0.004576793185107874,4065.0,0.0
safe,0.270375342229409,0.035516383266554624,0.510824518464532,0.039457433954699736,0.3964760968936897,0.028430848681781362,0.8701612903225806,0.19587627111364359,9.144126270313413,4.011279128837098,,,,,2.4476094667916186,0.6111962128275359,17.4,5.128352561983234,0.6463794,0.008736274215877112,0.73464041,0.08658582229237508,4065.0,0.0
safe-r,0.759628322759509,0.03796541096913983,0.9463955562702868,0.010920037415848167,0.8350488338302435,0.020795166549935643,0.04244077631336944,0.018936463728592014,-6.534483931087888,0.6675723858340104,,,,,3.7684218749869616,0.17533638131037205,38.8,1.7888543819998322,0.6596251000000001,0.00791279774637262,0.69323198,0.012488602103748428,4065.0,0.0
safeplus,0.6955494991405307,0.1436627249961467,0.9007366026318474,0.09819211202164665,0.7371113518664527,0.19697732181051186,0.2242822244090382,0.4339257618857859,-3.974434409806708,9.08857263609742,9.439155596308169,0.7368262255905789,3.558084774017334,0.4427150515669839,3.076864108617883,1.2289815955151335,29.0,13.30413469565007,0.6775707000000001,0.007610110648012979,0.71945625,0.006427766683401758,4098.0,0.0
