dataset,model,seed,accuracy,accuracy@1,accuracy@2,accuracy@3,accuracy@4,accuracy@5,auprc,auroc,early_detected_rate,f1,f1@1,f1@2,f1@3,f1@4,f1@5,mean_lead_time,precision,recall,threshold,onset_mae,onset_nll
synthetic_demo,safe,2,0.2525,0.575,0.2675,0.2675,0.2675,0.27,0.3137221633406958,0.5722333333333334,1.0,0.40080160320641284,0.3656716417910448,0.39835728952772076,0.40325865580448067,0.40325865580448067,0.4065040650406504,11.88,0.2506265664160401,1.0,0.26999999999999996,,
synthetic_demo,safe,4,0.265,0.265,0.265,0.265,0.265,0.265,0.26472339985168936,0.4866512642792966,1.0,0.4189723320158103,0.4189723320158103,0.4189723320158103,0.4189723320158103,0.4189723320158103,0.4189723320158103,12.424528301886792,0.265,1.0,0.05,,
synthetic_demo,safe,3,0.3,0.7675,0.7375,0.6175,0.5975,0.565,0.21755595784276896,0.4695107001506077,0.5591397849462365,0.35185185185185186,0.0,0.018691588785046728,0.19895287958115182,0.27802690582959644,0.2809917355371901,3.9342105263157894,0.22418879056047197,0.8172043010752689,0.41999999999999993,,
synthetic_demo,safe,1,0.2675,0.2675,0.2675,0.2675,0.2675,0.2675,0.2886730472039384,0.5040030621032822,1.0,0.42209072978303747,0.42209072978303747,0.42209072978303747,0.42209072978303747,0.42209072978303747,0.42209072978303747,11.794392523364486,0.2675,1.0,0.05,,
synthetic_demo,safe,0,0.245,0.76,0.76,0.6875,0.5575,0.49,0.2672021429079528,0.5217242324561404,0.7916666666666666,0.38866396761133604,0.0,0.0,0.2331288343558282,0.30039525691699603,0.32450331125827814,5.6875,0.24120603015075376,1.0,0.63,,
synthetic_demo,gru,2,0.93,0.6425,0.635,0.6825,0.6975,0.715,0.7716317154270932,0.9512333333333333,0.49,0.8771929824561403,0.2955665024630542,0.12048192771084337,0.072992700729927,0.047244094488188976,0.05,2.15,0.78125,1.0,0.5149999999999999,,
synthetic_demo,gru,4,0.9075,0.2925,0.4275,0.5925,0.6275,0.6975,0.7719672362437779,0.9435566679501989,0.9433962264150944,0.8477366255144033,0.41164241164241167,0.3760217983651226,0.30638297872340425,0.16759776536312848,0.12949640287769784,11.452830188679245,0.7518248175182481,0.9716981132075472,0.38999999999999996,,
synthetic_demo,gru,3,0.9275,0.3725,0.52,0.625,0.6675,0.7025,0.8033664067995188,0.9587404994571118,0.8602150537634409,0.8651162790697674,0.36455696202531646,0.3469387755102041,0.29906542056074764,0.24,0.16783216783216784,9.924731182795698,0.7622950819672131,1.0,0.35999999999999993,,
synthetic_demo,gru,1,0.9275,0.73,0.73,0.725,0.7275,0.7275,0.8128184401892202,0.9491563267519377,0.09345794392523364,0.8786610878661087,0.0,0.0,0.0,0.018018018018018018,0.018018018018018018,-4.679245283018868,0.7954545454545454,0.9813084112149533,0.59,,
synthetic_demo,gru,0,0.895,0.75,0.75,0.7525,0.745,0.745,0.7099581801022005,0.9290707236842105,0.20833333333333334,0.8157894736842105,0.12280701754385964,0.05660377358490566,0.019801980198019802,0.019230769230769232,0.0,-2.5638297872340425,0.7045454545454546,0.96875,0.57,,
synthetic_demo,safe-r,2,0.9025,0.75,0.75,0.75,0.75,0.75,0.7570770247215115,0.9526333333333333,0.04,0.8368200836820083,0.0,0.0,0.0,0.0,0.0,-5.9,0.7194244604316546,1.0,0.38499999999999995,,
synthetic_demo,safe-r,4,0.895,0.735,0.735,0.735,0.735,0.735,0.7911530306555509,0.9466692337312284,0.02830188679245283,0.8173913043478261,0.0,0.0,0.0,0.0,0.0,-7.648936170212766,0.7580645161290323,0.8867924528301887,0.4549999999999999,,
