metric,comparison,mean_difference,bootstrap_95_low,bootstrap_95_high
auprc,safeplus - gru,-0.07839889661183139,-0.17571268529774342,-0.02294250251706924
auprc,safeplus - safe,0.4251741569111217,0.2972682085955455,0.511473476601001
auprc,safeplus - safe-r,-0.06407882361897829,-0.16240879570247618,-0.009192082534060609
auroc,safeplus - gru,-0.04561490760351099,-0.12471865679824543,-0.005190806511935442
auroc,safeplus - safe,0.3899120841673153,0.29380894512923783,0.46139206292003243
auroc,safeplus - safe-r,-0.045658953638439484,-0.12419922388926703,-0.0038790358189662033
f1,safeplus - gru,-0.11978793785167341,-0.2796376641752823,-0.027674277821745186
f1,safeplus - safe,0.340635254972763,0.16302702357616047,0.4522324940100714
f1,safeplus - safe-r,-0.09793748196379089,-0.26322569776506516,-0.005202226627709283
